P1;P7;P9;P10;P15;P17;P18;P18A;P19;P19A;P20;P21;P22;P24;P25;P26;P27;P28;P29;P32;P42;P43;P44;P46;P47;P52;P53;P55;P59;P60;P64
0;0;0;2;1;1;42;0;5;0;1;9;3;0;1;1;11;1;1;35;38;61;52;0;0;0;0;0;99;1;99
2;1;4;0;0;0;39;0;9;0;1;8;3;0;8;1;10;2;2;10;40;70;51;0;0;0;0;0;99;1;99
2;1;1;0;0;0;34;0;3;0;1;5;3;0;4;6;10007;10;1;28;39;61;54;21;65;15;24;12;3;19;99
2;1;2;0;0;0;31;0;9;0;1;5;1;2;1;1;21;1;1;38;36;62;50;0;0;0;0;0;3;1;99
0;0;0;3;1;1;50;0;8;0;6;7;3;0;4;6;5;16;1;39;34;48;22;15;55;0;0;0;99;15;99
4;1;1;0;0;0;43;0;11;0;6;10;3;0;3;5;35;8;9;35;49;67;65;21;23;0;0;0;99;9;99
2;1;2;0;0;0;44;0;9;0;1;1;3;0;1;3;11;10;6;40;48;72;58;8;25;2;14;0;99;11;99
2;1;4;0;0;0;31;0;2;0;1;3;5;0;2;3;11;11;6;36;37;65;44;6;800;0;0;12;99;18;99
3;2;3;0;0;0;39;0;0;0;1;6;3;0;0;0;12;0;0;22;49;68;62;8;15;7;20;9;11;1;99
1;1;3;0;0;0;45;0;0;0;1;3;5;0;0;0;25;0;0;35;48;76;61;27;53;0;0;6;1;19;99
0;0;0;5;2;4;40;0;0;16;1;4;3;0;1;1;23;3;1;38;40;66;56;15;805;1;1;0;99;9;99
2;1;1;0;0;0;39;0;23;0;5;5;3;0;9;6;26;992;992;32;44;78;65;13;2;3;10;7;3;11;99
0;0;0;10;1;5;40;0;0;0;1;3;3;0;0;0;14;0;0;35;44;63;63;21;71;3;9;17;99;14;99
0;0;0;3;1;1;40;0;36;0;5;4;4;0;4;1;1;6;6;35;44;72;36;7;33;0;0;0;99;994;99
0;0;0;1;1;1;40;0;1;0;4;5;3;0;6;1;9;6;6;44;40;64;63;6;23;0;0;0;99;994;99
0;0;0;2;1;1;37;0;9;0;1;1;3;0;6;1;10;12;1;17;43;67;63;8;23;1;6;0;99;994;99
0;0;0;5;2;1;45;0;9;0;1;1;3;0;8;1;11;2;2;24;47;76;59;7;2;2;15;0;99;6;99
0;0;0;4;1;1;47;0;11;0;5;3;1;3;7;6;11;992;7;50;55;88;80;7;16;1;3;0;99;994;99
0;0;0;6;2;1;35;0;0;0;5;1;3;0;0;0;66;0;0;21;39;66;64;7;1;0;0;0;99;4;99
0;0;0;3;1;1;46;0;0;0;1;3;1;2;0;0;2;2;0;43;45;72;63;7;5;1;12;0;99;994;99
